Código MP;Nome MP;Volume Anual (kg);Preço Referência (USD);Fornecedor Selecionado;Estado Fornecedor;Homologado;Preço (USD);Custo Projetado (USD);Saving Unitário (USD);Saving Unitário (%);Saving Total (USD);Lote Mínimo (MOQ);Lead Time c/ Estoque;Lead Time s/ Estoque;Status;Ação / Observação;Data Decisão
MP0231;DERMAQUA S / ÁGUA TERMAL;488,52;3,2200;FOCUS QUÍMICA;SP;Não;3,2192;1572,66;-0,0008;-0,02;-0,38;20;20;20;DECIDIDO;;23/03/2026
MP0455;OLEO DE ALGODAO;1220,55;2,9400;CAMPESTRE;ES;Não;2,6385;3220,37;-0,3015;-10,26;-368,04;;5 DIAS;;DECIDIDO;HMOLOGAR CAMPESTRE E KHOL;23/03/2026
MP0236;GOMA XANTANA;43,68;3,0600;Oxigen;SP;Não;2,4380;106,49;-0,6220;-20,33;-27,17;;IMEDIATO;5 DIAS;DECIDIDO;;23/03/2026
MP0238;LIPOCOL SC-20 / EUMULGIN B2 / ALKONAT CE 200 F / CETEARETH 20 VIC;176,36;41,0800;KHOL QUIMICA;ES;Não;4,7200;832,42;-36,3600;-88,51;-6412,45;5;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;23/03/2026
MP0456;ALCOOL DE CEREAIS;57,01;1,6500;KHOL QUIMICA;ES;Sim;1,8269;104,15;0,1769;10,72;10,09;20;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;FORNECEDOR ATUAL É KHOL;23/03/2026
MP0242;NIACINAMIDA;0,00;;FOCUS QUÍMICA;SP;Não;22,8000;;;;;25;90;90;DECIDIDO;;23/03/2026
MP0459;ACIDO HIALURONICO PO 95% / HYALURONIC ACID;30,21;149,6200;lepuge;1;Sim;149,6154;4519,88;-0,0046;-0,00;-0,14;;;;DECIDIDO;;23/03/2026
MP0460;IMIDAZOLIDINYL UREA/ GERMALL 115/ MICROCARE IM;381,19;11,4600;THOR;1;Sim;11,4570;4367,29;-0,0030;-0,03;-1,14;;;;DECIDIDO;;23/03/2026
MP0244;ÓLEO DE ROSA MOSQUETA / VEG OIL ROSA MOSQUETA P (ÓLEO VEGETAL DE ROSAS MOSQUETA);8126,88;13,0600;PHYTOFLORA;;Não;13,0577;106118,30;-0,0023;-0,02;-18,75;;;;DECIDIDO;;23/03/2026
MP0245;ÓLEO MINERAL;476,00;1,7000;Oxigen;ES;Não;1,5150;721,14;-0,1850;-10,88;-88,06;;IMEDIATO;5 DIAS;DECIDIDO;;23/03/2026
MP0462;ROSA MOSQUETA GLICOLICO;35,27;7,6000;PHYTOFLORA;1;Sim;7,6000;268,05;0,0000;0,00;0,00;;;;DECIDIDO;;23/03/2026
MP0463;PHYTOATTIVE ARROZ GLIC;16,37;3,6000;PHYTOFLORA;1;Sim;3,6000;58,93;0,0000;0,00;0,00;;;;DECIDIDO;;23/03/2026
MP0246;PARSOL MCX / METOXICINAMATO DE ETILHEXIL;21,38;13,2000;SYMRISE;SP;Não;13,2000;282,22;0,0000;0,00;0,00;200;3;120 dias;DECIDIDO;;23/03/2026
MP0248;PLANTCOL (ACACIA SENEGAL GUM EXTRACT);512,98;29,0100;AQIA;ES;Não;26,5500;13619,62;-2,4600;-8,48;-1261,93;;;;DECIDIDO;;23/03/2026
MP0249;POLAWAX NF;4565,41;7,8500;PIC;1;Sim;7,8519;35847,25;0,0019;0,02;8,78;;;;DECIDIDO;;23/03/2026
MP0250;PROPANEDIOL;2962,46;7,2800;SARFAM;ES;Sim;5,4900;16263,91;-1,7900;-24,59;-5302,80;199.584;60;60;DECIDIDO;;23/03/2026
MP0252;SILICONE DC 245;173,09;3,3800;SQ QUIMICA;ES;Sim;2,8559;494,33;-0,5241;-15,51;-90,71;190 KG;IMEDIATO;;DECIDIDO;;23/03/2026
MP0468;RETINOL GS 50 / NV RETINOL;5,03;398,8000;nanovetores;1;Sim;398,8000;2005,96;0,0000;0,00;0,00;5;;;DECIDIDO;;23/03/2026
MP0265;SOLUÇÃO CORANTE VIOLET COVASOL 0,36% - CI 60730;0,00;5,7500;#REF!;0;Não;5,7519;;0,0019;0,03;;;;;DECIDIDO;;23/03/2026
MP0269;TREALOSE;154,77;7,5900;INTERLAB;SP;Sim;11,7525;1818,93;4,1625;54,84;644,23;R$ 1.000,00;Imediato;60 dias;DECIDIDO;;23/03/2026
MP0470;VIT. E ACETATE OLEOSA 100/ VIT. E ACET 100% / 98% /TOCOPHERYL ACETATE/VITAMIN E ACET;2,52;22,8000;BASF;SP;Não;29,3100;73,86;6,5100;28,55;16,41;25kg;4 dias úteis;90 dias;DECIDIDO;ATUAL HOMOLOGADA É BASF. HOMOLOGAR KHOL;23/03/2026
MP0402;CARBOPOL 940;0,00;;Oxigen;ES;Não;7,2160;;;;;;IMEDIATO;5 DIAS;DECIDIDO;;23/03/2026
MP0471;D PANTENOL (D PANTENOL 75%);1870,14;30,7000;KHOL QUIMICA;SP;Sim;8,3000;15522,16;-22,4000;-72,96;-41891,14;5;6 DIAS UTEIS;15 DIAS ÚTEIS;DECIDIDO;;23/03/2026
MP0425;ALCOOL CETILICO C16/98 / CETYL ALCOHOL/ AKONAT 1698 P/VEGAROL 1698;0,00;;Oxigen;ES;Não;3,1790;;;;;;IMEDIATO;5 DIAS;DECIDIDO;;23/03/2026
MP0435;LAURILETERSULFATO DE SODIO M /A 27%/ALKOPON N (EXT LESS C27/SS LAC 270) ONU N/C;0,00;;Oxigen;ES;Não;1,0500;;;;;;IMEDIATO;5 DIAS;DECIDIDO;;23/03/2026
MP0452;CARBOPOL 940;192,78;12,1600;ANASTACIO;SP;Não;7,1800;1384,16;-4,9800;-40,95;-960,04;20;12 dias;120;DECIDIDO;;23/03/2026
MP0453;GLUCAM E-20;247,84;27,7100;DINACO;SP;Não;30,0536;7448,49;2,3436;8,46;580,84;20;3;135;DECIDIDO;;23/03/2026
MP0464;SILICONE DC 193/ PEG- 12 DIMETHICONE / OFX-0193 FLUID - LIFE;12,59;7,6200;SQ QUIMICA;ES;Não;7,6200;95,94;0,0000;0,00;0,00;25 KG;IMEDIATO;;DECIDIDO;;23/03/2026
MP0466;GLYCOLIC ACID/ ACIDO GLICOLICO 70%;12,59;15,7000;KHOL QUIMICA;ES;Não;15,7000;197,66;0,0000;0,00;0,00;1;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;23/03/2026
MP0472;ACQUACREAM TC-K;534,38;3,9100;KHOL QUIMICA;SP;Não;3,9100;2089,43;0,0000;0,00;0,00;25;6 DIAS UTEIS;15 DIAS ÚTEIS;DECIDIDO;;23/03/2026
MP0475;ALCOOL CETILICO C16/98 / CETYL ALCOHOL/ AKONAT 1698 P/VEGAROL 1698;0,00;;ALPHA QUIMICA2;ES;Não;3,4761;;;;;150;5;60;DECIDIDO;;23/03/2026
MP0477;CETIOL HE BB 5 / POLYMOL HE;500,28;5,9700;AQIA;1;Sim;5,9725;2987,92;0,0025;0,04;1,25;;;;DECIDIDO;;23/03/2026
MP0478;ORYZA SATIVA (RICE) BRAN OIL;2878,39;5,9200;CAMPESTRE;SP;Sim;5,5998;16118,34;-0,3202;-5,41;-921,73;180;;;DECIDIDO;;23/03/2026
MP0476;PALMITATO DE ISOPROPILA/ POLIMOL IPP/SP CRODAMOL IPP MBAL-LQ-(BR);749,65;6,3800;AQIA;ES;Sim;3,3700;2526,32;-3,0100;-47,18;-2256,45;20kg;;;DECIDIDO;;23/03/2026
MP0479;RUMUS AMIGDALUS DULCIS / 0220-BEROILB0220/VEG-OIL OLEO DE AMENDOAS DOCE;712,58;6,4900;KHOL QUIMICA;ES;Não;4,0654;2896,91;-2,4246;-37,36;-1727,73;50;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;23/03/2026
